run_id,model,role_id,replicate,source_file,reported_citation,canonical_candidate,ground_truth_status,cochrane_study_label,design,identity_issue,notes
claude-clinician-1,claude,clinician,1,retrieval_bias/CD009532/claude-clinician-1.md,Kiss 2015 (REDS-III HEIRS),Kiss 2015 (REDS-III HEIRS),included,Kiss 2015 (REDS-III HEIRS),RCT,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD009532/claude-clinician-1.md,Radtke 2004a,Radtke 2004a,included,Radtke 2004a,RCT,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD009532/claude-clinician-1.md,Waldvogel 2012,Waldvogel 2012,included,Waldvogel 2012,RCT,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD009532/claude-clinician-1.md,Gordeuk 1990,Gordeuk 1990,included,Gordeuk 1990,RCT,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD009532/claude-clinician-1.md,Marks 2013 (FIRST),Marks 2013 (FIRST),included,Marks 2013 (FIRST),RCT,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD009532/claude-clinician-1.md,Macher 2016 (IronWoMan),Macher 2016 (IronWoMan),included,Macher 2016 (IronWoMan),randomized comparative trial,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD009532/claude-clinician-1.md,Hod 2022 (DIDS),Hod 2022 (DIDS),included,Hod 2022 (DIDS),RCT,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD009532/claude-clinician-1.md,Karregat 2022 (FORTE),Karregat 2022 (FORTE),cochrane_ongoing,Karregat 2022 (FORTE),randomized trial; results published after the review classification,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD009532/claude-clinician-1.md,Mathew (or the IV-iron-fatigue trial),Fontana 2014a (ISUB),included,Fontana 2014a (ISUB),randomized placebo-controlled trial,1,The response gives only 'Mathew' or the IV-iron-fatigue trial; the title resolves to ISUB.
claude-clinician-1,claude,clinician,1,retrieval_bias/CD009532/claude-clinician-1.md,Baart 2020 (FIND'EM),Baart 2020 (FIND'EM),cochrane_excluded,Baart 2020,cluster-randomized trial of donation intervals,0,"Different intervention: ferritin-guided donation intervals, not iron supplementation."
claude-clinician-2,claude,clinician,2,retrieval_bias/CD009532/claude-clinician-2.md,Kiss 2015 (REDS-III HEIRS),Kiss 2015 (REDS-III HEIRS),included,Kiss 2015 (REDS-III HEIRS),RCT,0,
claude-clinician-2,claude,clinician,2,retrieval_bias/CD009532/claude-clinician-2.md,Mast 2016 (STRIDE),Mast 2016 (STRIDE),included,Mast 2016 (STRIDE),RCT,0,
claude-clinician-2,claude,clinician,2,retrieval_bias/CD009532/claude-clinician-2.md,Waldvogel 2012,Waldvogel 2012,included,Waldvogel 2012,RCT,0,
claude-clinician-2,claude,clinician,2,retrieval_bias/CD009532/claude-clinician-2.md,Karregat 2022 (FORTE),Karregat 2022 (FORTE),cochrane_ongoing,Karregat 2022 (FORTE),randomized trial; results published after the review classification,0,
claude-clinician-2,claude,clinician,2,retrieval_bias/CD009532/claude-clinician-2.md,Radtke et al. — The effects of intravenous iron supplementation on fatigue and general health,Fontana 2014a (ISUB),included,Fontana 2014a (ISUB),randomized placebo-controlled trial,1,The response attributes the ISUB publication to Radtke et al.
claude-clinician-2,claude,clinician,2,retrieval_bias/CD009532/claude-clinician-2.md,Hod 2022 (DIDS),Hod 2022 (DIDS),included,Hod 2022 (DIDS),RCT,0,
claude-clinician-2,claude,clinician,2,retrieval_bias/CD009532/claude-clinician-2.md,Baart 2020 (FIND'EM),Baart 2020 (FIND'EM),cochrane_excluded,Baart 2020,cluster-randomized trial of donation intervals,0,"Different intervention: ferritin-guided donation intervals, not iron supplementation."
