run_id,model,role_id,replicate,source_file,reported_citation,canonical_candidate,ground_truth_status,cochrane_study_label,design,identity_issue,notes
claude-clinician-1,claude,clinician,1,reviews/CD007912/claude-clinician-1.md,"**van Baar ME, Dekker J, Oostendorp RA, Bijl D, Voorn TB, Lemmens JA, Bijlsma JW.** The effectiveness of exercise therapy in patients with osteoarthritis of the hip or knee: a randomized clinical trial. *J Rheumatol.* 1998;25(12):2432-2439. || **van Baar ME, Dekker J, Oostendorp RA, Bijl D, Voorn TB, Bijlsma JW.** Effectiveness of exercise in patients with osteoarthritis of hip or knee: nine months' follow up. *Ann Rheum Dis.* 2001;60(12):1123-1130.",van Baar 1998,included,van Baar 1998,Cochrane-included study cluster,0,Grouped 2 terminal-list citations to one study cluster.
claude-clinician-1,claude,clinician,1,reviews/CD007912/claude-clinician-1.md,"**Fransen M, Nairn L, Winstanley J, Lam P, Edmonds J.** Physical activity for osteoarthritis management: a randomized controlled clinical trial evaluating hydrotherapy or Tai Chi classes. *Arthritis Care Res.* 2007;57(3):407-414.",Fransen 2007,included,Fransen 2007,Cochrane-included study cluster,0,
claude-clinician-1,claude,clinician,1,reviews/CD007912/claude-clinician-1.md,"**Fernandes L, Storheim K, Sandvik L, Nordsletten L, Risberg MA.** Efficacy of patient education and supervised exercise vs patient education alone in patients with hip osteoarthritis: a single blind randomized clinical trial. *Osteoarthritis Cartilage.* 2010;18(10):1237-1243.",Fernandes 2010,included,Fernandes 2010,Cochrane-included study cluster,0,
claude-clinician-1,claude,clinician,1,reviews/CD007912/claude-clinician-1.md,"**Krauss I, Steinhilber B, Haupt G, Miller R, Martus P, Janssen P.** Exercise therapy in hip osteoarthritis — a randomized controlled trial (THüKo trial). *Dtsch Arztebl Int.* 2014;111(35-36):592-599.",Krauß 2014,included,Krauß 2014,Cochrane-included study cluster,0,
claude-clinician-1,claude,clinician,1,reviews/CD007912/claude-clinician-1.md,"**French HP, Cusack T, Brennan A, et al.** Exercise and Manual Physiotherapy Arthritis Research Trial (EMPART) for osteoarthritis of the hip: a multicenter randomized controlled trial. *Arch Phys Med Rehabil.* 2013;94(2):302-314.",French 2013,included,French 2013,Cochrane-included study cluster,0,
claude-clinician-1,claude,clinician,1,reviews/CD007912/claude-clinician-1.md,"**Bieler T, Siersma V, Magnusson SP, Kjaer M, Christensen HE, Beyer N.** In hip osteoarthritis, Nordic Walking is superior to strength training and home-based exercise for improving function. *Scand J Med Sci Sports.* 2017;27(8):873-886.",Bieler 2017,cochrane_excluded,Bieler 2017,Cochrane-excluded study,0,
claude-clinician-1,claude,clinician,1,reviews/CD007912/claude-clinician-1.md,"**Hall M, Allison K, Knox G, McManus F, Hinman RS, Bennell KL, et al.** Addition of aerobic physical activity to resistance exercise for hip osteoarthritis (PHOENIX): a randomised comparative effectiveness trial. *Lancet Rheumatol.* 2025;7(5):e343-e354.",Hall 2025,included,Hall 2025,Cochrane-included study cluster,0,
claude-clinician-2,claude,clinician,2,reviews/CD007912/claude-clinician-2.md,"**Fransen M, Crosbie J, Edmonds J.** Physical therapy is effective for patients with osteoarthritis of the hip: a randomized controlled trial. *J Rheumatol.* 2001.",Fransen 2001 knee trial,outside_other,,randomized controlled trial,1,"The author, year, and journal identify the knee trial, but the response changes the title to hip osteoarthritis.; The cited trial concerns knee osteoarthritis rather than hip osteoarthritis."
claude-clinician-2,claude,clinician,2,reviews/CD007912/claude-clinician-2.md,"**Hoeksma HL, Dekker J, Ronday HK, Heering A, van der Lubbe N, Vel C, Breedveld FC, van den Ende CHM.** Comparison of manual therapy and exercise therapy in osteoarthritis of the hip: a randomized clinical trial. *Arthritis Rheum.* 2004;51(5):722–729.",Hoeksma 2004,cochrane_excluded,Hoeksma 2004,Cochrane-excluded study,0,
claude-clinician-2,claude,clinician,2,reviews/CD007912/claude-clinician-2.md,"**Bennell KL, Egerton T, Martin J, Abbott JH, Metcalf B, McManus F, Sims K, Pua YH, Wrigley TV, Forbes A, Smith C, Harris A, Buchbinder R.** Effect of physical therapy on pain and function in patients with hip osteoarthritis: a randomized clinical trial. *JAMA.* 2014;311(19):1987–1997.",Bennell 2014,cochrane_excluded,Bennell 2014,Cochrane-excluded study,0,
