run_id,model,role_id,replicate,source_file,reported_citation,canonical_candidate,ground_truth_status,cochrane_study_label,design,identity_issue,notes
claude-clinician-1,claude,clinician,1,retrieval_bias/CD007654/claude-clinician-1.md,"Lincoff AM, et al. Semaglutide and Cardiovascular Outcomes in Obesity without Diabetes (SELECT trial). *N Engl J Med.* 2023;389(24):2221-2232. || Colhoun HM, et al. Long-term kidney outcomes of semaglutide in obesity and cardiovascular disease in the SELECT trial. *Nat Med.* 2024. || Deanfield J, et al. Semaglutide and cardiovascular outcomes by baseline and changes in adiposity measurements: a prespecified analysis of the SELECT trial. *Lancet.* 2025;406(10516):2257-2268.",SELECT,cochrane_excluded,Ryan 2020,randomized cardiovascular-outcome trial,0,Grouped 3 terminal-list citations to one study cluster.; The Cochrane package identifies SELECT under its rationale-and-design report.
claude-clinician-1,claude,clinician,1,retrieval_bias/CD007654/claude-clinician-1.md,"Wilding JPH, et al. Once-Weekly Semaglutide in Adults with Overweight or Obesity (STEP 1 trial). *N Engl J Med.* 2021;384:989-1002.",STEP 1,included,STEP 1 2023,randomized controlled trial,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD007654/claude-clinician-1.md,"Jastreboff AM, et al. Tirzepatide Once Weekly for the Treatment of Obesity (SURMOUNT-1 trial). *N Engl J Med.* 2022. || [ABPM substudy authors]. Tirzepatide Reduces 24-Hour Ambulatory Blood Pressure in Adults With Body Mass Index ≥27 kg/m²: SURMOUNT-1 Ambulatory Blood Pressure Monitoring Substudy. *Hypertension.* 2024.",SURMOUNT-1,included,SURMOUNT-1 2024,randomized controlled trial,0,Grouped 2 terminal-list citations to one study cluster.
claude-clinician-1,claude,clinician,1,retrieval_bias/CD007654/claude-clinician-1.md,Tirzepatide after intensive lifestyle intervention in adults with overweight or obesity: the SURMOUNT-3 phase 3 trial. *Nat Med.* 2024.,SURMOUNT-3,outside_other,,randomized controlled trial,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD007654/claude-clinician-1.md,"Pi-Sunyer X, et al. A Randomized, Controlled Trial of 3.0 mg of Liraglutide in Weight Management (SCALE Obesity and Prediabetes trial). *N Engl J Med.* 2015;373:11-22.",SCALE Obesity and Prediabetes,cochrane_excluded,SCALE obesity and prediabetes 2014,randomized controlled trial,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD007654/claude-clinician-1.md,"Gadde KM, et al. Effects of low-dose, controlled-release, phentermine plus topiramate combination on weight and associated comorbidities in overweight and obese adults (CONQUER): a randomised, placebo-controlled, phase 3 trial. *Lancet.* 2011;377(9774):1341-1352. || Changes in Cardiovascular Risk Associated With Phentermine and Topiramate Extended-Release in Participants With Comorbidities and a Body Mass Index ≥27 kg/m². (CONQUER sub-analysis).",CONQUER,included,CONQUER 2013,randomized controlled trial,0,Grouped 2 terminal-list citations to one study cluster.
claude-clinician-1,claude,clinician,1,retrieval_bias/CD007654/claude-clinician-1.md,"Allison DB, et al. Controlled-release phentermine/topiramate in severely obese adults: a randomized controlled trial (EQUIP). *Obesity (Silver Spring).* 2012;20(2):330-342.",EQUIP,cochrane_excluded,EQUIP 2012,randomized controlled trial,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD007654/claude-clinician-1.md,"[Bays HE, et al.] Effects of phentermine/topiramate extended-release, phentermine, and placebo on ambulatory blood pressure monitoring in adults with overweight or obesity: a randomized, multicenter, double-blind study. 2024 (PMID 38304225).",Phentermine/topiramate ambulatory-BP trial,outside_other,,randomized controlled trial,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD007654/claude-clinician-1.md,"Torgerson JS, et al. XENical in the Prevention of Diabetes in Obese Subjects (XENDOS Study): A randomized study of orlistat as an adjunct to lifestyle changes for the prevention of type 2 diabetes in obese patients. *Diabetes Care.* 2004;27(1):155-161.",XENDOS,included,XENDOS 2001-2006,randomized controlled trial,0,
claude-clinician-2,claude,clinician,2,retrieval_bias/CD007654/claude-clinician-2.md,"Lincoff AM, et al. Semaglutide and Cardiovascular Outcomes in Obesity without Diabetes (SELECT). *N Engl J Med*. 2023. NEJMoa2307563.",SELECT,cochrane_excluded,Ryan 2020,randomized cardiovascular-outcome trial,0,The Cochrane package identifies SELECT under its rationale-and-design report.
claude-clinician-2,claude,clinician,2,retrieval_bias/CD007654/claude-clinician-2.md,"Tchang B, et al. Effect of semaglutide 2.4 mg on use of antihypertensive and lipid-lowering treatment in five randomized controlled STEP trials. *Obesity*. 2025.",Pooled STEP analysis,invalid_publication_type,,pooled secondary analysis,0,
claude-clinician-2,claude,clinician,2,retrieval_bias/CD007654/claude-clinician-2.md,"Wilding JPH, et al. Once-Weekly Semaglutide in Adults with Overweight or Obesity (STEP 1). *N Engl J Med*. 2021. NEJMoa2032183.",STEP 1,included,STEP 1 2023,randomized controlled trial,0,
claude-clinician-2,claude,clinician,2,retrieval_bias/CD007654/claude-clinician-2.md,"Garvey WT, et al. Two-year effects of semaglutide in adults with overweight or obesity: the STEP 5 trial. *Nat Med*. 2022.",STEP 5,cochrane_excluded,Garvey 2021,randomized controlled trial,0,
claude-clinician-2,claude,clinician,2,retrieval_bias/CD007654/claude-clinician-2.md,"Wadden TA, et al. Tirzepatide after intensive lifestyle intervention in adults with overweight or obesity: the SURMOUNT-3 phase 3 trial. *Nat Med*. 2023.",SURMOUNT-3,outside_other,,randomized controlled trial,0,
claude-clinician-2,claude,clinician,2,retrieval_bias/CD007654/claude-clinician-2.md,"Jastreboff AM, et al. Tirzepatide Once Weekly for the Treatment of Obesity (SURMOUNT-1). *N Engl J Med*. 2022.",SURMOUNT-1,included,SURMOUNT-1 2024,randomized controlled trial,0,
claude-clinician-2,claude,clinician,2,retrieval_bias/CD007654/claude-clinician-2.md,"Aronne LJ, et al. Tirzepatide as Compared with Semaglutide for the Treatment of Obesity (SURMOUNT-5). *N Engl J Med*. 2025. NEJMoa2416394.",SURMOUNT-5,outside_other,,randomized controlled trial,0,
claude-clinician-2,claude,clinician,2,retrieval_bias/CD007654/claude-clinician-2.md,"Gadde KM, Allison DB, Ryan DH, et al. Effects of low-dose, controlled-release, phentermine plus topiramate combination on weight and associated comorbidities in overweight and obese adults (CONQUER). *Lancet*. 2011;377:1341-1352. || Changes in Cardiovascular Risk Associated With Phentermine and Topiramate Extended-Release in Participants With Comorbidities (CONQUER substudy). *Am J Cardiol* (ScienceDirect), 2013.",CONQUER,included,CONQUER 2013,randomized controlled trial,0,Grouped 2 terminal-list citations to one study cluster.
claude-clinician-2,claude,clinician,2,retrieval_bias/CD007654/claude-clinician-2.md,"Effects of phentermine/topiramate extended-release, phentermine, and placebo on ambulatory blood pressure monitoring in adults with overweight or obesity. *ScienceDirect* (randomized, multicenter, double-blind study).",Phentermine/topiramate ambulatory-BP trial,outside_other,,randomized controlled trial,0,
claude-clinician-2,claude,clinician,2,retrieval_bias/CD007654/claude-clinician-2.md,"Torgerson JS, Hauptman J, Boldrin MN, Sjöström L. XENical in the Prevention of Diabetes in Obese Subjects (XENDOS). *Diabetes Care*. 2004;27:155-161.",XENDOS,included,XENDOS 2001-2006,randomized controlled trial,0,
