run_id,model,role_id,replicate,source_file,reported_citation,canonical_candidate,ground_truth_status,cochrane_study_label,design,identity_issue,notes
claude-clinician-1,claude,clinician,1,reviews/CD010461/claude-clinician-1.md,Miller 2019 (HABSelect),Miller 2019 (HABSelect),included,Miller 2019,multicenter RCT,0,
claude-clinician-1,claude,clinician,1,reviews/CD010461/claude-clinician-1.md,Worrilow 2013,Worrilow 2013,included,Worrilow 2013,multicenter RCT,0,
claude-clinician-1,claude,clinician,1,reviews/CD010461/claude-clinician-1.md,Alegre 2025 triple-blind PICSI trial,Alegre 2025 triple-blind PICSI trial,cochrane_awaiting,Alegre 2025,triple-blind RCT,0,
claude-clinician-1,claude,clinician,1,reviews/CD010461/claude-clinician-1.md,"Nasr-Esfahani et al., 2021 (PMID 34076869)",Hozyen 2022 four-arm sperm-selection trial,cochrane_awaiting,Hozyen 2022,RCT,1,The response attributes PMID 34076869 to Nasr-Esfahani; the report in the Cochrane RIS is Hozyen 2022.
claude-clinician-1,claude,clinician,1,reviews/CD010461/claude-clinician-1.md,Gonzalez-Ravina 2022 donor-IUI MACS trial,Gonzalez-Ravina 2022 donor-IUI MACS trial,cochrane_excluded,NCT03659812 2018,multicenter RCT,0,
claude-clinician-1,claude,clinician,1,reviews/CD010461/claude-clinician-1.md,Hasanen 2020 PICSI-vs-MACS trial,Hasanen 2020 PICSI-vs-MACS trial,cochrane_awaiting,Hasanen 2020,RCT,0,
claude-clinician-1,claude,clinician,1,reviews/CD010461/claude-clinician-1.md,Gil Julia 2021 autologous-oocyte MACS cohort,Gil Julia 2021 autologous-oocyte MACS cohort,outside_observational,,retrospective cohort,0,
claude-clinician-1,claude,clinician,1,reviews/CD010461/claude-clinician-1.md,Romany 2014 donor-oocyte MACS trial,Romany 2014 donor-oocyte MACS trial,cochrane_awaiting,Romany 2014,triple-blind RCT,0,
claude-clinician-1,claude,clinician,1,reviews/CD010461/claude-clinician-1.md,Pacheco 2020 high-SDF MACS cohort,Pacheco 2020 high-SDF MACS cohort,outside_observational,,retrospective cohort,0,
claude-clinician-1,claude,clinician,1,reviews/CD010461/claude-clinician-1.md,Leandri 2013 IMSI trial,Leandri 2013 IMSI trial,outside_other,,multicenter RCT,0,
