run_id,model,role_id,replicate,source_file,reported_citation,canonical_candidate,ground_truth_status,cochrane_study_label,design,identity_issue,notes
claude-clinician-1,claude,clinician,1,retrieval_bias/CD012161/claude-clinician-1.md,"**Home PD et al.** Use of insulin aspart as mealtime insulin in patients with type 1 diabetes (multicenter, open-label, 6-month + 6-month extension, n=882). *Diabetes Care/related journal*, 2000. PMID 10834413 — aspart vs. regular human insulin (RHI).",Raskin 2000,included,Raskin 2000,randomized controlled trial,1,"The title identifies Raskin 2000, but the response supplies Home as lead author."
claude-clinician-1,claude,clinician,1,retrieval_bias/CD012161/claude-clinician-1.md,"**European Insulin Aspart Study Group.** Insulin aspart vs. human insulin in long-term blood glucose control in T1D: a randomized controlled trial (30-month extension, n=753) — aspart vs. RHI.",Home 2000,included,Home 2000,randomized controlled trial,0,The 2006 pre-meal insulin-aspart publication is a companion extension report.
claude-clinician-1,claude,clinician,1,retrieval_bias/CD012161/claude-clinician-1.md,"**Garg SK, Rosenstock J, Ways K.** Optimized basal-bolus insulin regimens in type 1 diabetes: insulin glulisine versus regular human insulin in combination with basal insulin glargine. *Endocr Pract.* 2005;11:11–17. PMID 16033730 — glulisine vs. RHI, n=860, 12 weeks.",Garg 2005 glulisine trial,outside_other,,randomized controlled trial,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD012161/claude-clinician-1.md,**Rosskamp/other early lispro trials and:** Anderson JH et al./multicenter trials establishing lispro vs. RHI (referenced within later trials; original mealtime-lispro vs. RHI RCTs from the 1990s).,Unspecified early lispro trials,outside_unresolved,,vaguely named trial group,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD012161/claude-clinician-1.md,**Ratner RE et al.** Hypoglycemia with intensive insulin therapy: a comparison of insulin lispro and regular human insulin in patients with type 1 diabetes on MDI (multicenter RCT establishing reduced severe hypoglycemia with lispro).,Ratner lispro hypoglycaemia study,outside_unresolved,,named multicenter trial; exact report unresolved,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD012161/claude-clinician-1.md,"**Pedersen-Bjergaard U et al. (HypoAna Trial).** A prospective randomised cross-over study of insulin analogues (detemir/aspart) vs. human insulin (NPH/regular) on severe hypoglycaemia frequency in T1D patients with recurrent hypoglycemia. PMC3433358 (rationale/design paper; results published separately, *Lancet Diabetes Endocrinol* 2014).",HypoAna trial,outside_other,,randomized crossover trial,0,The trial changes both basal and prandial insulin components.
claude-clinician-1,claude,clinician,1,retrieval_bias/CD012161/claude-clinician-1.md,**Mathiesen ER et al.** Maternal glycemic control and hypoglycemia in type 1 diabetic pregnancy: randomized trial of insulin aspart versus human insulin in 322 pregnant women. *Diabetes Care.* 2007;30:771–776. (Includes women on MDI; aspart vs. RHI.),Mathiesen 2007 pregnancy trial,outside_other,,randomized controlled trial in pregnancy,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD012161/claude-clinician-1.md,"**Russell-Jones D, Bode BW, De Block C, et al. (onset 1).** Fast-acting insulin aspart improves glycemic control in basal-bolus treatment for type 1 diabetes: 26-week multicenter, active-controlled, treat-to-target, randomized, parallel-group trial. *Diabetes Care.* 2017;40(7):943–950. PMID 28356319 — faster aspart vs. conventional insulin aspart (IAsp), MDI, n=1143. || **Mathieu C, Bode BW, Franek E, et al. (onset 1, 52-week extension).** Efficacy and safety of fast-acting insulin aspart in comparison with insulin aspart in type 1 diabetes (onset 1): 52-week randomized, treat-to-target, phase III trial. PMID 29316130.",ONSET 1,included,ONSET 1,randomized controlled trial,0,Grouped 2 terminal-list citations to one study cluster.; The 26- and 52-week reports are grouped as one trial cluster.
claude-clinician-1,claude,clinician,1,retrieval_bias/CD012161/claude-clinician-1.md,"**Bowering K et al. (onset 8).** Faster aspart vs. insulin aspart in insulin degludec-treated type 1 diabetes: efficacy and safety from a randomized double-blind trial (referenced alongside onset 1; MDI, adults with T1D).",ONSET 8,included,ONSET 8,randomized controlled trial,1,"The ONSET 8 description is identifiable, but the response supplies conflicting authorship or publication details."
claude-clinician-1,claude,clinician,1,retrieval_bias/CD012161/claude-clinician-1.md,"**Klaff L, Cao D, Dellva MA, et al. (PRONTO-T1D).** Ultra rapid lispro improves postprandial glucose control compared with lispro in patients with type 1 diabetes: results from the 26-week PRONTO-T1D study. *Diabetes Obes Metab.* 2020;22(10):1799–1807. PMID 32640842-adjacent trial — URLi vs. lispro, MDI, adults with T1D. || **Malecki MT, Cao D, Liu R, et al. (PRONTO-T1D extension).** Long-Term Efficacy and Safety of Ultra Rapid Lispro (URLi) in Adults with Type 1 Diabetes: The PRONTO-T1D Extension. *Diabetes Ther.* 2021. PMID 33458803 — 52-week URLi vs. lispro extension. || **Miura J, Nishiyama H, Imori M.** Long-term Efficacy and Safety of Ultra Rapid Lispro in Japanese Patients With Type 1 Diabetes: Subpopulation Analysis of the 52-Week PRONTO-T1D Study. *Diabetes Ther.* 2021;12(9):2471–2484. PMID 34347267.",PRONTO-T1DM,included,PRONTO-T1DM,randomized controlled trial,1,"The PRONTO-T1DM report is identifiable, but the response supplies conflicting author or identifier details.; Grouped 3 terminal-list citations to one study cluster.; Primary, extension, CGM, and Japanese-subpopulation reports are one trial cluster."
claude-clinician-1,claude,clinician,1,retrieval_bias/CD012161/claude-clinician-1.md,"**van Bon AC, Bode BW, Sert-Langeron C, DeVries JH, Charpentier G.** Insulin Glulisine Compared to Insulin Aspart and to Insulin Lispro Administered by Continuous Subcutaneous Insulin Infusion in Patients with Type 1 Diabetes: A Randomized Controlled Trial. *J Diabetes Sci Technol.* 2011. (Note: this trial uses CSII, not MDI — flagging for exclusion per your MDI criterion.)",van Bon 2011 pump trial,outside_other,,randomized pump trial,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD012161/claude-clinician-1.md,"**Nørgaard K et al. (double-blind RCT on non-automated insulin pump).** Faster-acting insulin aspart versus insulin aspart for adults with type 1 diabetes treated with non-automated insulin pump and CGM. PMID 40129237. (Note: also CSII, not MDI — flag for exclusion.)",Nørgaard/Ranjan non-automated-pump trial,outside_other,,randomized crossover pump trial,0,
claude-clinician-2,claude,clinician,2,retrieval_bias/CD012161/claude-clinician-2.md,"**Russell-Jones D, Bode BW, De Block C, et al.** Fast-Acting Insulin Aspart Improves Glycemic Control in Basal-Bolus Treatment for Type 1 Diabetes: Results of a 26-Week Multicenter, Active-Controlled, Treat-to-Target, Randomized, Parallel-Group Trial (ONSET 1). *Diabetes Care*. 2017;40(7):943–950. || **Mathieu C, Bode BW, Franek E, et al.** Efficacy and safety of fast-acting insulin aspart in comparison with insulin aspart in type 1 diabetes (ONSET 1): a 52-week, randomized, treat-to-target, phase III trial. *Diabetes Obes Metab*. 2018;20(5):1148–1155.",ONSET 1,included,ONSET 1,randomized controlled trial,0,Grouped 2 terminal-list citations to one study cluster.; The 26- and 52-week reports are grouped as one trial cluster.
claude-clinician-2,claude,clinician,2,retrieval_bias/CD012161/claude-clinician-2.md,"**Buse JB, Carlson AL, Komatsu M, Mosenzon O, Rose L, Liang B, Buchholtz K, Horio H, Kadowaki T.** Fast-acting insulin aspart versus insulin aspart in the setting of insulin degludec-treated type 1 diabetes: Efficacy and safety from a randomized double-blind trial. *Diabetes Obes Metab*. 2018;20(12):2885–2893. || **ONSET 8 trial** — faster aspart vs. insulin aspart, both with insulin degludec, in adults with T1D (as reported in Diabetes Ther 2023;13:2247–2261, real-world study referencing the trial; original trial registration and primary publication should be verified via ClinicalTrials.gov).",ONSET 8,included,ONSET 8,randomized controlled trial,1,"The ONSET 8 description is identifiable, but the response supplies conflicting authorship or publication details.; Grouped 2 terminal-list citations to one study cluster."
claude-clinician-2,claude,clinician,2,retrieval_bias/CD012161/claude-clinician-2.md,"**Klaff L, Cao D, Dellva MA, et al.** Ultra rapid lispro improves postprandial glucose control compared with lispro in patients with type 1 diabetes: Results from the 26-week PRONTO-T1D study. *Diabetes Obes Metab*. 2020;22(10):1799–1807. || **Bue-Valleskey J, et al.** Long-Term Efficacy and Safety of Ultra Rapid Lispro (URLi) in Adults with Type 1 Diabetes: The PRONTO-T1D Extension. *Diabetes Ther*. 2021;12(2):621–634.",PRONTO-T1DM,included,PRONTO-T1DM,randomized controlled trial,1,"The extension title identifies PRONTO-T1DM, but the response supplies conflicting page details.; Grouped 2 terminal-list citations to one study cluster.; Primary, extension, CGM, and Japanese-subpopulation reports are one trial cluster."
claude-clinician-2,claude,clinician,2,retrieval_bias/CD012161/claude-clinician-2.md,"**Anderson JH Jr, Brunelle RL, Koivisto VA, et al.** Efficacy of insulin lispro in combination with NPH human insulin twice per day in patients with insulin-dependent or non–insulin-dependent diabetes mellitus. *Clin Ther*. 1997;19(1):62–72.",Vignati 1997,cochrane_excluded,Vignati 1997,randomized controlled trial,1,"The title identifies Vignati 1997, but the response supplies Anderson-paper authors and pages.; The review excludes this twice-daily mixed-regimen study for duration."
claude-clinician-2,claude,clinician,2,retrieval_bias/CD012161/claude-clinician-2.md,"**Raskin P, Holcombe JH, Tamborlane WV, Malone JI, Strowig S, Ahern JA, Lavent F.** A comparison of insulin lispro and buffered regular human insulin administered via continuous subcutaneous insulin infusion pump. *J Diabetes Complications*. 2001;15(6):295–300.",Bode 2001 lispro-pump trial,outside_other,,randomized pump trial,0,
